a 啊嗄锕阿
kong 倥孔崆恐控空箜
kou 口叩寇扣抠眍筘芤蔻
ku 刳哭喾堀库枯窟绔苦裤酷骷
kua 侉垮夸挎胯跨
kuai 侩哙块快狯筷脍蒯郐
kuan 宽款髋
kuang 况匡哐圹夼旷框狂眶矿筐纩诓诳贶邝
kui 亏匮喟喹夔奎岿悝愦愧揆暌溃盔睽窥篑聩葵蒉蝰跬逵隗馈馗魁
kun 困坤悃捆昆琨醌锟阃髡鲲
kuo 廓扩括蛞阔
la 剌啦喇垃拉旯瘌砬腊蜡辣邋
lai 崃徕来涞濑癞睐籁莱赉赖铼
lan 兰婪岚懒拦揽斓栏榄滥漤澜烂篮缆罱蓝褴览谰镧阑
lang 啷廊朗榔浪狼琅稂莨蒗螂郎锒阆
lao 佬劳唠姥崂捞栳涝潦烙牢痨老耢酪醪铑铹
le 乐了仂叻泐肋鳓
lei 儡勒嘞垒嫘擂檑泪磊类累缧羸耒蕾诔酹镭雷
leng 冷塄愣棱楞
li 丽例俐俚俪傈利力励历厉厘吏呖哩唳喱坜娌嫠戾李枥栎栗梨沥溧漓澧犁狸猁理璃疠疬痢砺砾礼离立笠篥篱粒粝缡罹苈荔莅莉蓠藜蛎蜊蠡詈跞轹逦郦醴里锂隶雳骊鲡鲤鳢鹂黎黧
lia 俩
lian 奁帘廉怜恋敛楝殓涟潋濂炼琏练联脸臁莲蔹蠊裢裣连链镰鲢
liang 两亮凉墚晾梁椋粮粱良谅踉辆量魉
liao 僚嘹寥寮尥廖撂撩料燎獠疗缭聊蓼辽钌镣鹩
lie 冽列劣咧埒捩洌烈猎裂趔躐鬣
lin 临凛吝啉嶙廪懔拎林檩淋琳瞵磷粼膦蔺赁躏辚遴邻霖鳞麟
ling 令伶凌另呤囹岭柃棂泠灵玲瓴绫羚翎聆苓菱蛉酃铃陵零领鲮龄
liu 六刘旒柳榴流浏溜熘琉留瘤硫绺遛鎏锍镏馏骝鹨
long 咙垄垅拢栊泷珑癃砻窿笼聋胧茏陇隆龙
